"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"2842","Andrew Rayel","Trance (earlier works), Big Room, Electro","Armada Music","Armin Van Buuren, Bobina, Mark Sixma, Jonathan Mendelsohn, Christian Burns, Jwaydan, Alexander Popov, Jano, Alexandre Bergheau, Jonny Rose, Sylvia Tosun, Lira Yin, Alexandra Badoi","Andrei Rață","(1992-07-21) 21 July 1992 (age 25)Călărași, Moldova",NA,"strings, piano",NA,"Electronic musician, composer, record producer, pianist, remixer, DJ","Moldova","2009–present",NA,NA,"Official website",NA
"2843","Chris Lake","House, electro house, Deep house","Ultra, Rising Music, Rising Trax, OWSLA","deadmau5",NA,"(1982-08-08) 8 August 1982 (age 35)Norwich, England",NA,"Keyboard",NA,"Disc jockey, record producer",NA,"2002-present",NA,NA,"http://www.chris-lake.com/","Cristophe D'Abuc, Echofalls"
"2844","Ellen Allien","Experimental techno, Techno, IDM, Tech house","BPitch ControlSpectral Sound","Apparat","Ellen Fraatz",NA,NA,"Vocals",NA,"Vocalist, remixer, producer","West Berlin, West Germany","1992 to present",NA,NA,"www.ellenallien.dewww.bpitchcontrol.de",NA
"2845","Dannic","EDM","Revealed Recordings, Ultra Records, Fonk Recordings, Maxximize Records","Hardwell, Sick Individuals, Dyro, Shermanology, Dbstf, Fedde Le Grand","Daan Romers","(1985-11-10) November 10, 1985 (age 31)Breda, Netherlands",NA,"Digital audio workstation",NA,"DJ, record producer",NA,"2009 - present",NA,NA,"Official website","DJ Funkadelic, Brainless"
"2846","Gabriel & Dresden","Progressive trance, electronica, house","Organized Nature, Armada","Bigtop, Motorcycle, Andain",NA,NA,NA,NA,NA,"DJ, producer, remixer","San Francisco, California, United States","2001–2008, 2011-present","Josh Gabriel, Dave Dresden",NA,NA,NA
"2847","Nicole Moudaber","Techno, electronica, deep house, house, tech house","8 Sided Dice, Area Remote, Azuli Back Catalog, Intacto, Intec, iVAV Recordings, Kling Klong, Leena Music, Monique Musique, Monique Speciale, MOOD Records, Plastic City. Play, Rawthentic Music, VIVa Music, Waveform Recordings, Yellow Tail",NA,"Nicole Moudaber","Lagos, Nigeria",NA,NA,"Notable instruments","Producer, DJ, promoter",NA,"2008–present",NA,NA,"nicolemoudaber.com",NA
"2848","Danny Tenaglia","Tribal house, US garage, techno",NA,NA,"Daniel Tenaglia","(1961-03-07) March 7, 1961 (age 56)Brooklyn, New York, United States",NA,NA,NA,"Record producer, DJ, remixer",NA,NA,NA,NA,"Dannytenaglia.com","Soulboy, Code 718, King Street Crew, Hambone, NYLX, NYDC, The Look, DATAR,"
"2849","Ephwurd","House music
Bass House","Spinnin' Records",NA,NA,NA,NA,NA,NA,NA,NA,"2015 (2015)–present","Datsik
Bais Haus",NA,"www.ephwurd.com",NA
"2850","Robbie Rivera","Electro
house
dance
funk
tribal
progressive house","Juicy
Virgin
EMI",NA,"Roberto Rivera","(1973-08-07) August 7, 1973 (age 44)San Juan, Puerto Rico",NA,NA,NA,NA,"Puerto Rico","1996–present",NA,NA,"robbierivera.com",NA
"2851","Erick Morillo","House, electro house","Strictly Rhythm, Subliminal Records","El General, Reel 2 Real, Jocelyn Brown, Harry ""Choo Choo"" Romero, José Nunez, P. Diddy, Audio Bullys, Terra Deva, Leslie Carter, Shawnee Taylor, Deborah Cooper, Duane Harden, Fiora, Eddie Thoneick, Alexandra Burke","Erick Morillo","(1971-03-26) 26 March 1971 (age 46) [1]New York City, New York, United States",NA,"Turntable, sampler",NA,"Disc jockey, producer","Bocagrande, Cartagena, Bolívar, Colombia","1982–present",NA,NA,"www.erickmorillo.com",NA
"2852","Victor Calderone","House","Waveform Recordings",NA,NA,"(1967-03-20) March 20, 1967 (age 50)",NA,NA,NA,"Disc Jockey (DJ) and producer","Brooklyn, New York City, New York, United States","1980s–present",NA,NA,"www.victorcalderone.com",NA
"2853","Coone","Hard house","Dirty Workz, Dim Mak",NA,NA,NA,NA,NA,NA,NA,"Turnhout, Belgium",NA,NA,NA,"djcoone.com","Coone
DJ Coone"
"2854","Sander Kleinenberg","House, trance","Little Mountain Recordings, THIS IS Recordings, Thrive Records, FFRR Records, Ultra Records, Spinnin' Records","Dash Berlin, Kraak & Smaak, Lee Burridge, Daft Punk etc.",NA,"(1971-12-29) 29 December 1971 (age 45)Delft, Netherlands",NA,"DVJ1000, synthesizers","Notable instruments","Disc jockey, record producer, DVJ","The Hague, Netherlands","1997–present",NA,NA,"SanderKleinenberg.com","Free Frogs, S 'N' S"
"2855","Patrick Topping","House","Hot Creations, Relief Records, Hottrax","Jamie Jones, Richy Ahmed, Green Velvet, Lee Foss","Patrick Topping","(1989-02-25) 25 February 1989 (age 28)Newcastle",NA,NA,NA,"Producer, DJ",NA,"2012 - present",NA,NA,NA,NA
"2856","Jonas Blue","Dance-pop
EDM
tropical house","Capitol
Positiva
Virgin EMI","Dakota
JP Cooper
Raye
AOA
William Singe","Guy James Robin","(1989-08-02) 2 August 1989 (age 28)[1]",NA,"Music sequencer
piano
synthesisers
drum machine",NA,"DJ
record producer
songwriter
remixer","Essex, England","2015–present",NA,NA,"jonasblue.com",NA
"2857","Sigala","House
dance-pop
electronica
tropical house
deep house","Ministry of Sound
Columbia
Ultra","Sigma
Ella Eyre
Bryn Christopher
Imani Williams
DJ Fresh
John Newman
Nile Rodgers
Craig David","Bruce Fielder","(1992-11-01) 1 November 1992 (age 24)Norwich, Norfolk, England",NA,NA,NA,"DJ
record producer
remixer","Norwich, England, UK","2015–present",NA,NA,"www.sigalamusic.com","Sigala"
"2858","Camo & Krooked","Drum and bass, drumstep, dubstep, electro, house, funk, minimal","Mosaik Records, RAM Records, Hospital Records, Mainframe Recordings, Beta Recordings, Viper Recordings, Breakbeat Kaos, AudioPorn Records","Future Prophecies, Body & Soul, Phetsta, Shock One, John B, DJ Fresh, Netsky, Pat Fulgoni, Tali, Professor Green, Friction, Dynamite MC, TC, Futurebound, Jenna G, Shaz Sparks, Ayah Marar, Ian Shaw, Metrik, Lemâitre",NA,NA,NA,NA,NA,NA,"Vienna, Austria","2007–present","Reinhard Rietsch
Markus Wagner",NA,"www.camoandkrooked.com","Masai, Chrome"
"2859","Grum","House, progressive house, tech house, trance","Heartbeats, Anjunabeats, Trice Recordings/Armada, Spinnin, Ultra Records, Zerothree, Ministry Of Sound",NA,"Graeme Shepherd","(1986-05-02) May 2, 1986 (age 31)Glasgow, Scotland",NA,NA,NA,"Musician, producer, disc jockey",NA,"2007–present",NA,NA,"grum.tv",NA
"2860","ATB","Electronic dance music (EDM)","Kontor Records, Armada Music","see Co-production section of ATB discography.","André Tanneberger","(1973-02-26) 26 February 1973 (age 44)[1]",NA,NA,NA,"DJ, producer, remixer","Freiberg, Saxony, East Germany 🇩🇪","1998–present",NA,NA,"Official website",NA
"2861","Timmy Trumpet","House, Psytrance , Hardstyle , Melbourne Bounce","Monstercat, Ministry of Sound, Onelove, Central Station, Neon Underground, Hussle Recordings, Spinnin' Records",NA,"Timothy Jude Smith","(1982-06-09) June 9, 1982 (age 35)
Sydney, Australia",NA,"Trumpet, digital trumpet","Notable instruments","DJ, instrumentalist",NA,"2005–present",NA,NA,"Official website","Timmy Trumpet"
"2862","Green Velvet","Techno
house
minimal","Relief
Cajual
Music Man
F-111
Warner Bros.",NA,NA,NA,NA,"Synthesizers
vocals",NA,NA,"Chicago, Illinois, United States","1991–present",NA,NA,"green-velvet.com","Cajmere
Green Velvet
Gino Vittori
Geo Vogt
Curan Stone
Half Pint"
"2863","Darude","EDM
trance","EnMass
Warner Finland
Helsinki
Robbins",NA,"Toni-Ville Henrik Virtanen","(1975-07-17) 17 July 1975 (age 42)Eura, Finland",NA,NA,NA,"DJ
record producer","Turku, Finland","1990–present",NA,NA,"darude.com","Rude Boy
Da Rude"
"2864","Yotto","Deep House, House, Techno","Anjunadeep",NA,"Otto Yliperttula","(1986-10-08) October 8, 1986 (age 30)",NA,NA,NA,"Disc jockeyRecord producer","Helsinki, Finland","2014 – present",NA,NA,"Official website",NA
"2865","Chocolate Puma","House, dance, electronic","Fresh Fruit, Hooj Choons, Parlophone, Incentive Records, VC Recordings, Spinnin' Records, Mixmash Records",NA,NA,NA,NA,NA,NA,NA,"Haarlem, Netherlands","1991–present","Gaston Steenskist (""Dobre"")
René ter Horst (""DJ Zki"")",NA,NA,"The Good Men (or The Goodmen)
Chocolate Puma
Klatsch!
Rhythm Killaz
Tomba Vira
Riva
Jark Prongo
F-Action
René et Gaston"
"2866","MAKJ","electro house, Big Room House, dutch house","Revealed Recordings, Spinnin' Records, Ultra Records, Juicy Music, Hysteria Records, Doorn Records, Diffused Records","Hardwell, Lil' Jon, DJ AM, M35, Showtek, Henry Fong, Bassjackers","Mackenzie Johnson","(1990-06-25) June 25, 1990 (age 27)",NA,NA,NA,"DJ, radio host","San Luis Obispo, California","2011–present",NA,NA,"djmakj.com","MAKJ"
"2867","Art Garfunkel","Folk, rock, pop","Columbia, Manhattan, Atco","Simon & Garfunkel","Arthur Ira Garfunkel","(1941-11-05) November 5, 1941 (age 75)Queens, New York, United States",NA,"Vocals",NA,"Singer
actor
poet
math teacher",NA,"1956–present",NA,NA,"artgarfunkel.com",NA
"2868","Anne Murray","Country, pop, adult contemporary, soft rock","Arc, Capitol, Capitol Nashville Liberty, SBK, EMI Canada, Straight Way, Manhattan",NA,"Morna Anne Murray","(1945-06-20) June 20, 1945 (age 72)Springhill, Nova Scotia, Canada",NA,"Vocals, guitar",NA,"Singer","Springhill, Nova Scotia, Canada","1968–2008 (retired)",NA,NA,"annemurray.com",NA
"2869","Brian Setzer Orchestra","Swing revival, jump blues, rockabilly, rock and roll","Interscope, Hollywood, Surfdog","The Tomcats, Stray Cats, Brian Setzer and The Nashvillains",NA,NA,NA,NA,NA,NA,"United States","1990–present",NA,NA,"www.briansetzer.com","BSO"
"2870","Evelyn Glennie",NA,NA,NA,"Evelyn Elizabeth Ann Glennie","(1965-07-19) 19 July 1965 (age 52)Aberdeenshire, Scotland",NA,"Percussion",NA,"Percussionist",NA,NA,NA,NA,"evelyn.co.uk",NA
"2871","Olga Kern","Classical","Harmonia Mundi",NA,NA,"(1975-04-23) April 23, 1975 (age 42)Moscow, Russia",NA,"Piano",NA,NA,NA,NA,NA,NA,"olgakern.com
olgakerncompetition.org",NA
"2872","Frankie Valli & The Four Seasons","Rock
pop
doo-wop
disco
soul
rock and roll","Gone, Vee-Jay, Philips, Mowest, Warner Bros., MCA, Curb","The Variatones, The Royal Teens",NA,NA,NA,NA,NA,NA,"Newark, New Jersey, United States","1960–present","Frankie Valli
Todd Fournier
Brian Brigham
Brandon Brigham
Landon Beard
Gary Melvin
Keith Hubacher
Robbie Robinson","Tommy DeVitoBob GaudioNick Massi (né Macioci)Charles CalelloJoe Long (né LaBracio)
Bob Grimm
Demetri CallasBill DeLoach
Clay Jordan
Ronnie Carangelo
Gerry PolciDon Ciccone
Lee Shapiro
John PaivaJerry Corbetta
Larry Lingle
Lynn Hammann
Chuck Wilson
Rex Robinson
Robby Robinson
Warren Hamm
Robin Swensen
Howard Larrabee
Tim Stone
Tom Alvarado
Fino Roverato
Rich Callaci
Daniel Donelly",NA,"The Four Lovers (1956-1960), The Wonder Who? (1965-1967)"
"2873","Kenny Rogers","Country
pop
adult contemporary
soft rock
rock
jazz","Cue
Carlton
Mercury
United Artists
Giant
Reprise
Atlantic
Curb
RCA
Dreamcatcher
Capitol
WEA
Warner Bros.","The Scholars
The Bobby Doyle Trio
The New Christy Minstrels
The First Edition
Dolly Parton
Dottie West
Barry Gibb
Kim Carnes
David Foster
Lionel Richie","Kenneth Ray Rogers","(1938-08-21) August 21, 1938 (age 79)",NA,"Vocals
guitar
bass guitar
harmonica
fiddle",NA,"Singer
songwriter
actor
record producer
entrepreneur","Houston, Texas, United States","1957–present",NA,NA,"kennyrogers.com",NA
"2874","Pat Metheny Group","Jazz, jazz fusion, crossover jazz, world fusion","ECM, Geffen, Warner Bros., Nonesuch",NA,NA,NA,NA,NA,NA,NA,"Lee's Summit, Missouri, United States","1977–present","Pat Metheny
Lyle Mays
Steve Rodby
Antonio Sánchez
Cuong Vu
Grégoire Maret
Nando Lauria","Danny Gottlieb
Mark Egan
Naná Vasconcelos
Paul Wertico
Pedro Aznar
David Blamires
Mark Ledford
Armando Marçal
Richard Bona
Luis Conte","www.patmetheny.com",NA
"2875","Turtle Island Quartet","Jazz",NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco Bay Area, California, United States","1985 (1985)–present","David Balakrishnan
Benjamin von Gutzeit
Alex Hargreaves
Malcolm Parson","Mark Summer
Darol Anger
Mads Tolling
Jeremy Kittel
Tracy Silverman
Danny Seidenberg
Evan Price
Irene Sazer
Katrina Wreede
Laurie Moore
Jeremy Cohen
Mateusz Smoczynski","turtleislandquartet.com","Turtle Island String Quartet"
"2876","Sezen Aksu","Pop","DMC",NA,"Fatma Sezen Yıldırım","(1954-07-13) 13 July 1954 (age 63)",NA,NA,NA,"Singer, songwriter, composer",NA,"1974–present",NA,NA,"Official Website","Sezen Aksu"
"2877","George Fenton",NA,NA,NA,"George Richard Ian Howe","(1950-10-19) 19 October 1950 (age 66)London, England",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2878","Dave Brubeck","Jazz, cool jazz, West Coast jazz, third stream","Columbia, Legacy, Sony, Concord, A&M, Atlantic","Paul Desmond, Eugene Wright, Joe Morello, Gerry Mulligan","David Warren Brubeck","(1920-12-06)December 6, 1920Concord, California, U.S.","December 5, 2012(2012-12-05) (aged 91)Norwalk, Connecticut","Piano",NA,"Musician, composer, bandleader",NA,"1940s–2012",NA,NA,"davebrubeck.com",NA
"2879","Stephen Sondheim","Musical theatre",NA,NA,"Stephen Joshua Sondheim","(1930-03-22) March 22, 1930 (age 87)New York City, New York, U.S.",NA,NA,NA,"Composer
lyricist",NA,"1954–present",NA,NA,NA,NA
"2880","Emanuel Ax",NA,NA,NA,NA,"(1949-06-08) June 8, 1949 (age 68)Lviv, Ukraine",NA,"Piano",NA,"Musician","New York City, U.S.",NA,NA,NA,NA,NA
"2881","Johnny Mathis","Easy listening
traditional pop
show tunes
soft rock","Columbia
Mercury",NA,"John Royce Mathis","(1935-09-30) September 30, 1935 (age 81)Gilmer, Texas, U.S.",NA,NA,NA,"Singer, songwriter, actor",NA,"1956–present",NA,NA,"www.johnnymathis.com",NA
"2882","Hilary Hahn","Classical",NA,NA,NA,"(1979-11-27) November 27, 1979 (age 37)Lexington, Virginia (USA)",NA,"1864 J.B. Vuillaume (Il Cannone Guarneri reproduction)",NA,"Violinist",NA,NA,NA,NA,"www.hilaryhahn.com",NA
"2883","Jim Lauderdale","Americana, Blues, Country, Bluegrass","Sky Crunch, New West, Sugar Hill, Thirty Tigers, Yep Roc, Dualtone, Proper","Robert Hunter, Buddy Miller, Ralph Stanley, Donna the Buffalo","James Russell Lauderdale","(1957-04-11) April 11, 1957 (age 60)Troutman, North Carolina, United States",NA,"VocalsGuitar",NA,"Musician, singer-songwriter","Nashville, Tennessee","1986–present",NA,NA,"JimLauderdale.com",NA
"2884","Allen Toussaint","R&B
soul
southern soul
funk
blues
jazz","RCA Victor
Scepter
Minit
Instant
Reprise
Warner Bros.
Nonesuch
Elektra
Rounder","The Band
Rosemary Butler
Merry Clayton
Elvis Costello
Lee Dorsey
Dr. John
Venetta Fields
Etta James
Labelle
John Mayall
Paul McCartney
The Meters
Bonnie Raitt
Irma Thomas",NA,"(1938-01-14)January 14, 1938Gert Town, Louisiana, U.S.","November 10, 2015(2015-11-10) (aged 77)Madrid, Spain","Vocals
piano",NA,"Musician
composer
arranger
record producer","New Orleans, Louisiana, U.S.","1958–2015",NA,NA,NA,"Al Tousan, Allen Orange, Naomi Neville, Clarence Toussaint"
"2885","The 5 Browns","Classical","RCA Red Seal, Sony Masterworks, E1 Music",NA,NA,NA,NA,NA,NA,NA,"Alpine, Utah, United States","2004–present","Desirae Brown
Deondra Brown
Gregory Brown
Melody Brown
Ryan Brown",NA,"www.the5browns.com",NA
"2886","Max Raabe","Cabaret, comedy, old style, orchestra",NA,NA,"Matthias Otto","(1962-12-12) December 12, 1962 (age 54)Lünen, West Germany.",NA,"Vocals, orchestra",NA,NA,NA,"1992–present",NA,NA,"palast-orchester",NA
"2887","Hot 8 Brass Band","Jazz, Hip hop, Funk","Tru Thoughts",NA,NA,NA,NA,NA,NA,NA,"New Orleans, Louisiana","1995–Present",NA,NA,"www.hot8brassband.com",NA
"2888","Yasmin Levy","Sephardic music, world, flamenco","Adama",NA,NA,"(1975-12-23) December 23, 1975 (age 41)Jerusalem",NA,"Vocals",NA,"Singer-songwriter","Jerusalem, Israel","2000–present",NA,NA,"yasminlevy.net",NA
"2889","Frederic Yonnet","R&B, hip hop soul, soul, neo soul, jazz fusion","independent","Stevie Wonder, Prince, Dave Chappelle, Erykah Badu, Kindred the Family Soul, Jonas Brothers, Grand Corps Malade, Justin Bieber, Ed Sheeran, Bradley Cooper, Lady Gaga",NA,"(1973-04-30) April 30, 1973 (age 44)",NA,"harmonica, drums",NA,"harmonica player, record producer","Pont l'Eveque, Calvados,France","1994–present",NA,NA,"fredyonnet.com",NA
"2890","Margo Rey","Pop, jazz, bossa nova","Organica Music Group",NA,"Margarita Reymundo-Jurado","(1966-10-18) 18 October 1966 (age 50)Acapulco, Mexico",NA,"Vocals",NA,"Singer-songwriter, musician",NA,"1990–present",NA,NA,"margorey.com","Margo Reymundo"
"2891","Diana Krall","Jazz, traditional pop, bossa nova","Justin Time (1993)GRP (1995)Impulse (1995–2001)Verve (2002–present)",NA,"Diana Jean Krall","(1964-11-16) November 16, 1964 (age 52)Nanaimo, British Columbia, Canada",NA,"Vocals, piano","Notable instruments","Singer, pianist, songwriter",NA,"1993–present",NA,NA,"www.dianakrall.com",NA
"2892","Sergio Mendes","Bossa nova, Latin, Latin jazz, jazz, disco, adult contemporary","Capitol, Atlantic, A&M, Elektra, Concord",NA,"Sérgio Santos Mendes","(1941-02-11) February 11, 1941 (age 76)Niterói, Rio de Janeiro, Brazil",NA,"Piano",NA,"Bandleader, pianist, composer, arranger, songwriter","Rio de Janeiro, Brazil","1961–present",NA,NA,NA,"Santos Sergio"
"2893","Julio Iglesias","Latin
Latin pop
dance-pop
adult contemporary","Columbia
Sony",NA,"Julio José Iglesias de la Cueva","(1943-09-23) 23 September 1943 (age 74)Madrid, Spain",NA,NA,NA,NA,NA,"1968–present",NA,NA,"www.julioiglesias.com",NA
"2894","Josh Turner","Country, neotraditional country, southern gospel, bluegrass[1]","MCA Nashville",NA,"Joshua Otis Turner","(1977-11-20) November 20, 1977 (age 39)Hannah, South Carolina, U.S.",NA,"Vocals, guitar",NA,NA,"Nashville, Tennessee","2001–present",NA,NA,"joshturner.com",NA
"2895","Neil Sedaka","Pop, Brill Building","RCA Victor, MGM Records, Polydor Records, Rocket, Elektra Records, Neil Sedaka Music, Razor & Tie Records",NA,NA,"(1939-03-13) March 13, 1939 (age 78)",NA,"Vocals, piano",NA,"Singer-songwriter, musician, multi-instrumentalist, record producer","Brooklyn, New York City,
United States","1957–present",NA,NA,"neilsedaka.com",NA
"2896","Puscifer","Alternative rock, post-industrial, trip hop, experimental, ambient","Puscifer Entertainment","Tool, A Perfect Circle, Skinny Puppy, Milla Jovovich, Telefon Tel Aviv",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","1995–present","Maynard James KeenanCarina Round
Mat Mitchell
Jeff Friedl
Mahsa ZargaranPaul Barker",NA,"www.puscifer.com",NA
"2897","Estrella Morente","Cante flamenco","Mute Records",NA,"Estrella de la Aurora Morente Carbonell","(1980-08-14) 14 August 1980 (age 37)",NA,NA,NA,NA,"Las Gabias, Granada, Spain","2001–present",NA,NA,"http://www.estrella-morente.es/estrellamorente.html",NA
"2898","California Guitar Trio","Instrumental rock, progressive rock, New Acoustic, new-age, chamber jazz, folk baroque","Inner Knot Records, Karate Body Records",NA,NA,NA,NA,NA,"Notable instruments",NA,NA,"1991–present","Paul Richards
Bert Lams
Hideyo Moriya",NA,"http://www.cgtrio.com",NA
"2899","Chucho Valdes","Afro-Cuban jazz","EGREM, Messidor, Blue Note","Irakere, Orquesta Cubana de Música Moderna","Dionisio de Jesús Valdés Rodríguez[1]","(1941-10-09) October 9, 1941 (age 75)Quivicán, La Habana, Cuba",NA,"Piano",NA,"Musician, bandleader, composer",NA,NA,NA,NA,"valdeschucho.com",NA
"2900","The Tenors","Operatic pop","Universal Music Canada, Decca Verve",NA,NA,NA,NA,NA,NA,NA,"Victoria, British Columbia, Canada","2007–present","Fraser Walters
Victor Micallef
Clifton Murray","Remigio Pereira
Jamie McKnight","tenorsmusic.com","The Canadian Tenors"
"2901","Cyrille Aimee","Jazz","Mack Avenue",NA,"Cyrille Aimée Daudel","(1984-08-10) August 10, 1984 (age 33)Samois-sur-Seine, Fontainebleau, France",NA,"Vocals",NA,"Singer",NA,NA,NA,NA,"www.cyrillemusic.com",NA
"2902","Ana Moura","Fado","Universal Music",NA,"Ana Moura","(1979-09-17) 17 September 1979 (age 38)Santarém, Portugal",NA,NA,NA,"Singer",NA,NA,NA,NA,"www.anamoura.pt",NA
"2903","Mike Mills","Alternative rock, folk rock,[1]college rock, jangle pop",NA,"R.E.M., Hindu Love Gods, The Backbeat Band, Automatic Baby, The Baseball Project, Big Star's Third","Michael Edward Mills","(1958-12-17) December 17, 1958 (age 58)Orange County, California, United States",NA,"Bass guitar, vocals, guitar, piano, accordion, percussion",NA,"Musician, composer, music producer",NA,"1980–present",NA,NA,NA,NA
